Date,Open,High,Low,Close,Volume,Adj Close
2010-12-01,17.82,18.969999,17.82,18.57,4373400,16.495474
2010-11-01,17.809999,18.790001,17.33,17.639999,7868100,15.610237
2010-10-01,17.84,18.60,17.360001,17.59,5709300,15.565991
2010-09-01,15.85,17.860001,15.73,17.67,6065800,15.636786
2010-08-02,16.440001,16.66,15.41,15.68,4652900,13.827921
2010-07-01,14.91,17.209999,14.65,16.23,7214900,14.312955
2010-06-01,15.86,16.50,14.83,14.91,7392900,13.14887
2010-05-03,18.40,18.459999,15.15,15.96,10065400,14.023292
2010-04-01,17.10,19.57,16.940001,18.25,9186400,16.035404
2010-03-01,15.88,17.27,15.68,16.959999,8167900,14.901943
2010-02-01,18.66,18.879999,15.71,15.78,13848800,13.813907
2010-01-04,19.10,20.26,18.15,18.540001,5885600,16.230028
2009-12-01,18.58,19.559999,17.809999,18.85,4793000,16.501404
2009-11-02,18.17,20.09,18.110001,18.450001,4778600,16.100849
2009-10-01,18.83,20.07,18.07,18.17,5703100,15.8565
2009-09-01,18.17,20.639999,17.34,18.92,5899900,16.511005
2009-08-03,17.66,19.190001,17.209999,18.040001,5165300,15.743052
2009-07-01,16.469999,18.799999,15.11,17.48,7559800,15.254354
2009-06-01,17.969999,18.370001,15.50,16.40,6032300,14.311865
2009-05-01,16.77,18.15,16.07,17.629999,7676900,15.385254
2009-04-01,12.37,17.92,12.08,16.75,10206300,14.617301
2009-03-02,10.92,12.97,10.05,12.57,7888500,10.969521
2009-02-02,13.00,14.28,10.94,11.16,9086800,9.73905
2009-01-02,14.31,15.99,13.07,13.66,6973900,11.920736
