Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,18.530001,18.709999,18.469999,18.57,2496800,16.495474
2010-12-29,18.33,18.51,18.280001,18.40,3001500,16.344465
2010-12-27,18.200001,18.50,18.200001,18.48,1627500,16.415528
2010-12-23,18.42,18.49,18.200001,18.26,1990700,16.220106
2010-12-21,18.450001,18.450001,18.26,18.389999,4234200,16.335582
2010-12-17,18.280001,18.42,18.200001,18.280001,4248400,16.237872
2010-12-15,18.690001,18.76,18.50,18.549999,6508700,16.415527
2010-12-13,18.700001,18.889999,18.690001,18.76,3507300,16.601364
2010-12-09,18.709999,18.860001,18.540001,18.60,4518500,16.459775
2010-12-07,18.540001,18.59,18.309999,18.34,4667100,16.229692
2010-12-03,18.129999,18.32,18.110001,18.25,6861400,16.150048
2010-12-01,17.82,18.139999,17.82,18.030001,4703700,15.955363
