Date,Open,High,Low,Close,Volume,Adj Close
2010-12-01,17.82,18.969999,17.82,18.57,4373400,16.495474
2010-11-01,17.809999,18.790001,17.33,17.639999,7868100,15.610237
2010-10-01,17.84,18.60,17.360001,17.59,5709300,15.565991
2010-09-01,15.85,17.860001,15.73,17.67,6065800,15.636786
2010-08-02,16.440001,16.66,15.41,15.68,4652900,13.827921
2010-07-01,14.91,17.209999,14.65,16.23,7214900,14.312955
2010-06-01,15.86,16.50,14.83,14.91,7392900,13.14887
2010-05-03,18.40,18.459999,15.15,15.96,10065400,14.023292
2010-04-01,17.10,19.57,16.940001,18.25,9186400,16.035404
2010-03-01,15.88,17.27,15.68,16.959999,8167900,14.901943
2010-02-01,18.66,18.879999,15.71,15.78,13848800,13.813907
2010-01-04,19.10,20.26,18.15,18.540001,5885600,16.230028
